,index,Position,Track Name,Artist,Streams,URL,date
45,45,46,Stars,The Toys,61706,https://open.spotify.com/track/00XqyOkSIiqOygR0kezc4x,2019-01-06
46,46,47,นอนได้แล้ว,The Toys,61429,https://open.spotify.com/track/5wjLh0SIZGk36IgB8NE74l,2019-01-06
47,47,48,คำตอบ,Safeplanet,61271,https://open.spotify.com/track/0zEb36zrMAhdM851DxG1Oy,2019-01-06
48,48,49,Happier,Marshmello,61188,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-06
49,49,50,Gotta Go,CHUNG HA,59157,https://open.spotify.com/track/0xq4ZTcmwBfkPGo4RRKmMe,2019-01-06
50,50,51,ภูเขาบังเส้นผม (Hide you) feat. TWOPEE,Stamp,56887,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA,2019-01-06
51,51,52,ยิ้มก็พอ feat. Wonderframe,TOR Saksit,56670,https://open.spotify.com/track/089OggImoTkmiPMVtVAs3I,2019-01-06
52,52,53,FOREVER YOUNG - KR Ver.,BLACKPINK,55613,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA,2019-01-06
53,53,54,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,54865,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF,2019-01-06
54,54,55,"Fire On Fire - From ""Watership Down""",Sam Smith,53549,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,2019-01-06
55,55,56,149.6,Bodyslam,52991,https://open.spotify.com/track/6FZfxnZ1qoVoL5EpQXXWOx,2019-01-06
56,56,57,LOVE SCENARIO,iKON,51169,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k,2019-01-06
57,57,58,แพ้,Gtk,50343,https://open.spotify.com/track/0shHJQJP1RLvxxLiSPYzI5,2019-01-06
58,58,59,แพ้ทุกที (LOOPER),fellow fellow,48614,https://open.spotify.com/track/1OCWm66r2PwI8RsspEMfzD,2019-01-06
59,59,60,ดูไว้,YOUNGOHM,47860,https://open.spotify.com/track/1aHxAPhylGcp9MjomzD6fN,2019-01-06
60,60,61,20ตุลา,Silly Fools,47459,https://open.spotify.com/track/0N6LtfTaauUS8o69K4xmS7,2019-01-06
61,61,62,กึ๊ม กึ่ม,THE OLD ISE,46800,https://open.spotify.com/track/0WzXG8hRLWlbgM0UYvGOIv,2019-01-06
62,62,63,YES or YES,TWICE,46186,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP,2019-01-06
63,63,64,As If It's Your Last,BLACKPINK,45422,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot,2019-01-06
64,64,65,BBIBBI,IU,43701,https://open.spotify.com/track/4as4XEOR03oGm1STUKl6pa,2019-01-06
65,65,66,Tempo,EXO,43668,https://open.spotify.com/track/3RqZIrpndez8Iu5J5BsmnV,2019-01-06
66,66,67,Girls Like You (feat. Cardi B),Maroon 5,43288,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-06
67,67,68,ต่อให้,Season Five,43078,https://open.spotify.com/track/7EiesOznEUAta5QIb89I7e,2019-01-06
68,68,69,I Like Me Better,Lauv,42865,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019-01-06
69,69,70,RBB (Really Bad Boy),Red Velvet,42646,https://open.spotify.com/track/006LuHbY5Tt9dhbdSOnVq6,2019-01-06
70,70,71,2002,Anne-Marie,41376,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-01-06
71,71,72,ยอม...ปล่อย,CYANIDE,41266,https://open.spotify.com/track/6ilPvEFcvuE8306ytmzSi9,2019-01-06
72,72,73,Better,Khalid,40327,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-06
73,73,74,Paris in the Rain,Lauv,40255,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL,2019-01-06
74,74,75,MILLIONS,WINNER,39582,https://open.spotify.com/track/5wIMMlbIGCNAXnGy0ijojN,2019-01-06
75,75,76,คนชั่ว 2018,The Parkinson,39338,https://open.spotify.com/track/7ei0VnJbGojtdCDCp2Mow1,2019-01-06
76,76,77,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,39305,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-06
77,77,78,Ruin My Life,Zara Larsson,38938,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-06
78,78,79,I’M OK,iKON,38405,https://open.spotify.com/track/6uHoPVdPEqXlH1Kd3KqTIJ,2019-01-06
79,79,80,Bad Liar,Imagine Dragons,38232,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-06
80,80,81,คนที่ไม่ใช่,O-Pavee,37864,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1,2019-01-06
81,81,82,Sweet but Psycho,Ava Max,37843,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-06
82,82,83,Eastside (with Halsey & Khalid),benny blanco,36654,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-06
83,83,84,comethru,Jeremy Zucker,35342,https://open.spotify.com/track/6fFTPGGItuEpjwXRUIr4rk,2019-01-06
84,84,85,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,35329,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-01-06
85,85,86,ยังไง,Ninja,35235,https://open.spotify.com/track/55qYCDL74valBWZQQQccW2,2019-01-06
86,86,87,Hope,The Chainsmokers,34425,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019-01-06
87,87,88,High Hopes,Panic! At The Disco,34403,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-06
88,88,89,Better Now,Post Malone,34253,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-06
89,89,90,KILLING ME,iKON,33970,https://open.spotify.com/track/36wruYZk4V9sWeUzR3rB74,2019-01-06
90,90,91,FAKE LOVE,BTS,33601,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,2019-01-06
91,91,92,พบกันใหม่,Polycat,33358,https://open.spotify.com/track/4IKn1t0eZZzF5mji1vraVI,2019-01-06
92,92,93,Bad Boy,Red Velvet,33169,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc,2019-01-06
93,93,94,ครั้งสุดท้าย,OG-ANIC,32658,https://open.spotify.com/track/1DPrXncHEnR0141ct0DF06,2019-01-06
94,94,95,4:00,The Toys,32152,https://open.spotify.com/track/1PGNDa8dIRkOQ6VLvNHRdw,2019-01-06
95,95,96,BOOMBAYAH - KR Ver.,BLACKPINK,32087,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt,2019-01-06
96,96,97,Spring Breeze,Wanna One,32059,https://open.spotify.com/track/3IktbbAbZqczBDQxCoJOyP,2019-01-06
97,97,98,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,31898,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk,2019-01-06
98,98,99,Perfect,Ed Sheeran,31835,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019-01-06
99,99,100,POP/STARS,K/DA,31532,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,2019-01-06
100,100,101,อยู่นานๆได้ไหม,SIN,31518,https://open.spotify.com/track/2RWPiJ1wDnDoqZmPJNHpRC,2019-01-06
101,101,102,พอจะรู้,MEYOU,31315,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq,2019-01-06
102,102,103,PLAYING WITH FIRE - KR Ver.,BLACKPINK,31126,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy,2019-01-06
103,103,104,ชนดิ,Mindset,30528,https://open.spotify.com/track/6moTM2aGWVzSgNo9vNw9qT,2019-01-06
104,104,105,Candle Light,NCT DREAM,30520,https://open.spotify.com/track/6nUpdTLUSel3Zp6lhHZRbX,2019-01-06
105,105,106,Too Good At Goodbyes,Sam Smith,29991,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019-01-06
106,106,107,แค่เพียงฉัน(ที่ไม่ลืม),Earth Patravee,29990,https://open.spotify.com/track/1SCRT8WbB4TdiXwvtzMnpL,2019-01-06
107,107,108,What is Love?,TWICE,29763,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX,2019-01-06
108,108,109,no tears left to cry,Ariana Grande,29465,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019-01-06
109,109,110,Beautiful (feat. Camila Cabello),Bazzi,28676,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-06
110,110,111,REALLY - KR Ver.,BLACKPINK,28257,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf,2019-01-06
111,111,112,This Feeling,The Chainsmokers,28215,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019-01-06
112,112,113,ไม่ใช่ฉัน,D Gerrard,28151,https://open.spotify.com/track/2gjaLwhfyxt96vBhSzeONs,2019-01-06
113,113,114,Going Bad (feat. Drake),Meek Mill,27605,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-06
114,114,115,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,27379,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2019-01-06
115,115,116,Lie To Me,5 Seconds of Summer,27238,https://open.spotify.com/track/3567eNX2L3RkkMkwspncMH,2019-01-06
116,116,117,FRIENDS,Marshmello,26869,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,2019-01-06
117,117,118,ศัตรูที่รัก,theBOYKOR,26773,https://open.spotify.com/track/6haG2qvSSFZFmOYXvBmdx3,2019-01-06
118,118,119,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,26544,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-06
119,119,120,ก่อนฤดูฝน,The Toys,26072,https://open.spotify.com/track/1oyYuiIundjUzgi0oyBNyB,2019-01-06
120,120,121,PLEASE,Atom Chanakan,25960,https://open.spotify.com/track/60hF3gZXQ33xdAXXk6tE1x,2019-01-06
121,121,122,The Middle,Zedd,25931,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019-01-06
122,122,123,Good Morning Teacher,Atom Chanakan,25851,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z,2019-01-06
123,123,124,Havana (feat. Young Thug),Camila Cabello,25738,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-01-06
124,124,125,Simon Says,NCT 127,25710,https://open.spotify.com/track/1zedfw5iu7XzKJT8CupEIP,2019-01-06
125,125,126,HANN (Alone),(G)I-DLE,25600,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4,2019-01-06
126,126,127,หมายความว่าอะไร,MEAN,25435,https://open.spotify.com/track/63rLjQUFTxemPqACev1by7,2019-01-06
127,127,128,medicine,Bring Me The Horizon,25300,https://open.spotify.com/track/03CbQgFxnBFoaaVJTfEqMD,2019-01-06
128,128,129,SICKO MODE,Travis Scott,25214,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-06
129,129,130,Young Dumb & Broke,Khalid,25031,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019-01-06
130,130,131,Siren,SUNMI,25008,https://open.spotify.com/track/2EK48RuuE8HHMDzD2rEDqL,2019-01-06
131,131,132,IDGAF,Dua Lipa,24910,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2019-01-06
132,132,133,เพื่อนไม่จริง,Polycat,24907,https://open.spotify.com/track/05WHgjtWx32x40VmFkLnOd,2019-01-06
133,133,134,Say You Won't Let Go,James Arthur,24805,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019-01-06
134,134,135,Youngblood,5 Seconds of Summer,24786,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-06
135,135,136,Miracle,GOT7,24746,https://open.spotify.com/track/7EuwGgjGV5mZdiFxkNVNDd,2019-01-06
136,136,137,FIANCÉ,MINO,24721,https://open.spotify.com/track/1bZNFcnyCmlnbs337baR0b,2019-01-06
137,137,138,ถ้าฉันหายไป(Skyline),Earth Patravee,24690,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8,2019-01-06
138,138,139,Status,Chilling Sunday,24542,https://open.spotify.com/track/0GTCONVjK4xrB0ZPT1CCNz,2019-01-06
139,139,140,New Rules,Dua Lipa,24520,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2019-01-06
140,140,141,I Love You,EXID,24496,https://open.spotify.com/track/7n2HVHWqFsyAOs5HqmE1Dl,2019-01-06
141,141,142,ไม่มีเหตุผล (feat. นายนะ),MARINA,24492,https://open.spotify.com/track/3JrekkAlDuRg0iRBwVUTBy,2019-01-06
142,142,143,Shape of You,Ed Sheeran,24474,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-06
143,143,144,Shallow,Lady Gaga,24388,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-06
144,144,145,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,23838,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-06
145,145,146,Be Alright,Dean Lewis,23824,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-06
146,146,147,Photograph,Ed Sheeran,23753,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2019-01-06
147,147,148,Waste It On Me (feat. BTS),Steve Aoki,23726,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,2019-01-06
148,148,149,งู้ยยยยยยยยยยย,Oat Pramote ft. Urboy TJ,23708,https://open.spotify.com/track/3DB5cok0icynOC7wj1AQuj,2019-01-06
149,149,150,แชร์ โล มา,Twopee Southside,23507,https://open.spotify.com/track/5TJsa9qiTlGKwhEvUsaWVe,2019-01-06
150,150,151,รอยยิ้ม,SCRUBB,23378,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX,2019-01-06
151,151,152,In My Blood,Shawn Mendes,23285,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,2019-01-06
152,152,153,Trampoline,SHAED,23253,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,2019-01-06
153,153,154,WHISTLE - KR Ver.,BLACKPINK,23180,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c,2019-01-06
154,154,155,ถ้าหาก,YENTED,23160,https://open.spotify.com/track/1Lw0i60LlzJfmG6ADncUrz,2019-01-06
155,155,156,Love Someone,Lukas Graham,23128,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-06
156,156,157,when the party's over,Billie Eilish,23105,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-06
157,157,158,Closer,The Chainsmokers,22994,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019-01-06
158,158,159,SEE U LATER - KR Ver.,BLACKPINK,22987,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ,2019-01-06
159,159,160,เป็นทุกอย่าง,Room 39,22918,https://open.spotify.com/track/0lQWN4uo1PCdzrxEZJM95P,2019-01-06
160,160,161,LATATA,(G)I-DLE,22871,https://open.spotify.com/track/2ezKXygNO30pXyDQXkm6oD,2019-01-06
161,161,162,Attention,Charlie Puth,22858,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50,2019-01-06
162,162,163,Psycho (feat. Ty Dolla $ign),Post Malone,22619,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019-01-06
163,163,164,เวลาเธอยิ้ม,Polycat,22606,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6,2019-01-06
164,164,165,IDOL,BTS,22467,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx,2019-01-06
165,165,166,ยังไม่รู้,Better Weather,22457,https://open.spotify.com/track/2OQQPlUlrSKu2nOPMwTS2c,2019-01-06
166,166,167,Power Up,Red Velvet,22333,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc,2019-01-06
167,167,168,Lil’ Touch,Girls' Generation-Oh!GG,22010,https://open.spotify.com/track/4D5Ode2OfZMxIwQyvmhUe8,2019-01-06
168,168,169,ครึ่งๆ กลางๆ,Bodyslam,21946,https://open.spotify.com/track/0f23VtodRD5ISi5qXm2KqR,2019-01-06
