,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
32,0.543,0.115,88.092,0.0317,0.815,0.0,4,0.552,1,213000,-7.07,0.379,1,audio_features,spotify:track:06vOsEUAHaWzcGqpe5r4Fh
33,0.457,0.285,115.94,0.0405,0.889,0.00416,4,0.576,2,254463,-9.43,0.352,1,audio_features,spotify:track:2RDD7HPe72Le3jkqR7Kt8f
34,0.683,0.114,99.994,0.0346,0.27,0.0,4,0.585,7,271200,-6.367,0.318,1,audio_features,spotify:track:26iDTOpInkOzTRzIR9ui5j
35,0.581,0.257,94.555,0.0881,0.21,0.000708,4,0.503,6,233601,-7.007,0.633,1,audio_features,spotify:track:6ZzYETKetIfNUsZUb23jgG
36,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,4,0.752,6,201661,-7.05,0.533,1,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C
37,0.474,0.106,62.484,0.039,0.374,0.0,3,0.714,8,212293,-4.993,0.376,1,audio_features,spotify:track:0todbbT9g5uQGbeFCiBf2F
38,0.626,0.101,179.581,0.0464,0.676,5.99e-05,4,0.369,0,280000,-6.407,0.503,1,audio_features,spotify:track:2K6iFUok3ie5reehHJTTMy
39,0.394,0.108,142.034,0.027,0.631,6.29e-05,4,0.609,10,266001,-10.216,0.388,1,audio_features,spotify:track:6YYcwUa7auypfzwUZoNEGY
40,0.46,0.33,67.879,0.0797,0.578,2.66e-05,4,0.49,7,228500,-8.86,0.275,1,audio_features,spotify:track:33diPovBu4Vxw4k83wrKmB
41,0.729,0.189,99.986,0.146,0.0557,0.0,4,0.675,8,190560,-4.383,0.63,1,audio_features,spotify:track:13hvHEstJ4sNbzdroPrPI3
42,0.596,0.0938,109.981,0.0566,0.572,0.0,4,0.675,6,225500,-6.472,0.472,0,audio_features,spotify:track:6oTyQdGm1gjyDbd1N1Vhq4
43,0.758,0.394,144.107,0.0618,0.0954,0.0,4,0.575,1,182623,-5.029,0.493,0,audio_features,spotify:track:5JEx7HbmvHQQswJCsoo9rA
44,0.371,0.109,75.208,0.0405,0.795,0.0,4,0.473,4,209400,-10.219,0.413,0,audio_features,spotify:track:4OBZT9EnhYIV17t4pGw7ig
45,0.479,0.0938,139.955,0.0315,0.295,2.16e-06,3,0.7,3,164571,-8.291,0.22,1,audio_features,spotify:track:00XqyOkSIiqOygR0kezc4x
46,0.719,0.0934,168.007,0.152,0.0701,0.0,4,0.659,1,212000,-7.964,0.66,1,audio_features,spotify:track:5wjLh0SIZGk36IgB8NE74l
47,0.822,0.116,175.991,0.0332,0.313,0.331,4,0.37,2,319750,-5.785,0.56,1,audio_features,spotify:track:0zEb36zrMAhdM851DxG1Oy
48,0.792,0.167,100.015,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99
49,0.829,0.0993,101.85,0.0445,0.0741,0.0,4,0.53,3,221813,-2.526,0.423,0,audio_features,spotify:track:0xq4ZTcmwBfkPGo4RRKmMe
50,0.72,0.0767,99.987,0.151,0.595,0.0,4,0.707,11,219500,-5.61,0.905,1,audio_features,spotify:track:5kHLmBd3GTMIFhWdD3berA
51,0.556,0.0854,104.0,0.0614,0.583,7.54e-06,4,0.812,10,245636,-5.212,0.559,1,audio_features,spotify:track:089OggImoTkmiPMVtVAs3I
52,0.96,0.0925,110.058,0.09,0.0419,0.0,4,0.615,4,237077,-1.807,0.504,1,audio_features,spotify:track:57Enap29zKl7NGRdDJjkjA
53,0.522,0.109,145.956,0.0334,0.126,0.0,4,0.537,7,228000,-6.419,0.193,1,audio_features,spotify:track:3WQe3r4R1lnJs75ty9UYDF
