,Position,Track Name,Artist,Streams,date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
37,38,imagine,Ariana Grande,66268,2019-01-06,0.474,0.106,62.484,0.039,0.374,0.0,3,0.714,8,212293,-4.993,0.376,1
38,39,ความหมาย (เพลงประกอบละคร พรหมไม่ได้ลิขิต),Atom Chanakan,66252,2019-01-06,0.626,0.101,179.581,0.0464,0.676,5.99e-05,4,0.369,0,280000,-6.407,0.503,1
39,40,ติดตลก,Oat Pramote,65489,2019-01-06,0.394,0.108,142.034,0.027,0.631,6.29e-05,4,0.609,10,266001,-10.216,0.388,1
40,41,หนึ่งคืน,Atom Chanakan,64005,2019-01-06,0.46,0.33,67.879,0.0797,0.578,2.66e-05,4,0.49,7,228500,-8.86,0.275,1
41,42,Kiss and Make Up,Dua Lipa,63756,2019-01-06,0.729,0.189,99.986,0.146,0.0557,0.0,4,0.675,8,190560,-4.383,0.63,1
42,43,ความลับมีในโลก(Secret),Ink Waruntorn,63044,2019-01-06,0.596,0.0938,109.981,0.0566,0.572,0.0,4,0.675,6,225500,-6.472,0.472,0
43,44,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,62999,2019-01-06,0.758,0.394,144.107,0.0618,0.0954,0.0,4,0.575,1,182623,-5.029,0.493,0
44,45,Best Part (feat. Daniel Caesar),H.E.R.,62004,2019-01-06,0.371,0.109,75.208,0.0405,0.795,0.0,4,0.473,4,209400,-10.219,0.413,0
45,46,Stars,The Toys,61706,2019-01-06,0.479,0.0938,139.955,0.0315,0.295,2.16e-06,3,0.7,3,164571,-8.291,0.22,1
46,47,นอนได้แล้ว,The Toys,61429,2019-01-06,0.719,0.0934,168.007,0.152,0.0701,0.0,4,0.659,1,212000,-7.964,0.66,1
47,48,คำตอบ,Safeplanet,61271,2019-01-06,0.822,0.116,175.991,0.0332,0.313,0.331,4,0.37,2,319750,-5.785,0.56,1
48,49,Happier,Marshmello,61188,2019-01-06,0.792,0.167,100.015,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1
49,50,Gotta Go,CHUNG HA,59157,2019-01-06,0.829,0.0993,101.85,0.0445,0.0741,0.0,4,0.53,3,221813,-2.526,0.423,0
50,51,ภูเขาบังเส้นผม (Hide you) feat. TWOPEE,Stamp,56887,2019-01-06,0.72,0.0767,99.987,0.151,0.595,0.0,4,0.707,11,219500,-5.61,0.905,1
51,52,ยิ้มก็พอ feat. Wonderframe,TOR Saksit,56670,2019-01-06,0.556,0.0854,104.0,0.0614,0.583,7.54e-06,4,0.812,10,245636,-5.212,0.559,1
52,53,FOREVER YOUNG - KR Ver.,BLACKPINK,55613,2019-01-06,0.96,0.0925,110.058,0.09,0.0419,0.0,4,0.615,4,237077,-1.807,0.504,1
53,54,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,54865,2019-01-06,0.522,0.109,145.956,0.0334,0.126,0.0,4,0.537,7,228000,-6.419,0.193,1
54,55,"Fire On Fire - From ""Watership Down""",Sam Smith,53549,2019-01-06,0.407,0.18,115.124,0.046,0.476,0.0,4,0.584,1,246735,-7.356,0.341,0
55,56,149.6,Bodyslam,52991,2019-01-06,0.875,0.0783,155.97,0.0565,0.00945,0.0,4,0.453,4,263105,-4.103,0.336,0
56,57,LOVE SCENARIO,iKON,51169,2019-01-06,0.707,0.294,118.011,0.0307,0.331,0.0,4,0.806,7,209648,-4.623,0.746,1
57,58,แพ้,Gtk,50343,2019-01-06,0.568,0.0685,129.935,0.0298,0.121,0.000109,4,0.646,7,244000,-7.766,0.537,1
58,59,แพ้ทุกที (LOOPER),fellow fellow,48614,2019-01-06,0.598,0.465,91.983,0.0544,0.209,1.05e-05,4,0.715,0,202000,-7.161,0.558,1
59,60,ดูไว้,YOUNGOHM,47860,2019-01-06,0.563,0.125,147.05,0.105,0.489,1.14e-06,4,0.802,11,212474,-7.311,0.347,0
60,61,20ตุลา,Silly Fools,47459,2019-01-06,0.701,0.372,125.979,0.0297,0.566,0.00602,3,0.492,6,318285,-5.023,0.231,1
61,62,กึ๊ม กึ่ม,THE OLD ISE,46800,2019-01-06,0.623,0.068,104.971,0.136,0.228,0.0,4,0.915,2,213881,-6.763,0.2,1
62,63,YES or YES,TWICE,46186,2019-01-06,0.913,0.166,137.982,0.0374,0.0514,3.71e-06,4,0.702,11,237685,-2.977,0.735,1
63,64,As If It's Your Last,BLACKPINK,45422,2019-01-06,0.853,0.0759,125.034,0.0816,0.0688,0.0,4,0.786,8,213264,-2.687,0.45,1
64,65,BBIBBI,IU,43701,2019-01-06,0.617,0.3,143.894,0.331,0.241,0.0,4,0.839,7,194426,-4.692,0.821,1
65,66,Tempo,EXO,43668,2019-01-06,0.842,0.0683,115.944,0.1,0.237,0.0,4,0.686,0,224483,-4.423,0.519,1
66,67,Girls Like You (feat. Cardi B),Maroon 5,43288,2019-01-06,0.541,0.13,124.959,0.0505,0.568,0.0,4,0.851,0,235545,-6.825,0.448,1
67,68,ต่อให้,Season Five,43078,2019-01-06,0.482,0.1,150.059,0.101,0.836,0.00247,4,0.695,5,251031,-8.232,0.373,0
68,69,I Like Me Better,Lauv,42865,2019-01-06,0.505,0.104,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1
69,70,RBB (Really Bad Boy),Red Velvet,42646,2019-01-06,0.85,0.114,150.059,0.0317,0.012,0.000239,4,0.719,2,188786,-3.229,0.367,1
70,71,2002,Anne-Marie,41376,2019-01-06,0.683,0.137,96.133,0.117,0.0372,0.0,4,0.697,1,186987,-2.881,0.603,0
71,72,ยอม...ปล่อย,CYANIDE,41266,2019-01-06,0.718,0.0962,173.841,0.238,0.578,3.45e-05,4,0.74,11,260000,-5.689,0.634,0
72,73,Better,Khalid,40327,2019-01-06,0.552,0.104,97.949,0.097,0.0765,0.334,4,0.596,0,229320,-10.278,0.112,0
73,74,Paris in the Rain,Lauv,40255,2019-01-06,0.408,0.394,76.309,0.0524,0.771,7.88e-06,4,0.426,3,204712,-9.419,0.528,1
74,75,MILLIONS,WINNER,39582,2019-01-06,0.663,0.0668,108.992,0.0628,0.0599,0.0,4,0.811,8,208284,-4.543,0.811,1
75,76,คนชั่ว 2018,The Parkinson,39338,2019-01-06,0.668,0.184,143.919,0.0295,0.587,5.32e-05,4,0.621,1,234500,-7.07,0.736,1
76,77,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,39305,2019-01-06,0.801,0.0642,95.881,0.228,0.157,4.82e-06,4,0.842,8,212500,-4.167,0.617,0
77,78,Ruin My Life,Zara Larsson,38938,2019-01-06,0.699,0.0969,124.896,0.0578,0.423,0.0,4,0.665,11,190932,-5.265,0.585,1
78,79,I’M OK,iKON,38405,2019-01-06,0.597,0.142,179.857,0.0673,0.335,0.0,4,0.539,0,216647,-4.83,0.436,1
79,80,Bad Liar,Imagine Dragons,38232,2019-01-06,0.637,0.368,177.913,0.0703,0.0722,0.0,4,0.383,3,260773,-6.993,0.0827,1
80,81,คนที่ไม่ใช่,O-Pavee,37864,2019-01-06,0.484,0.114,135.866,0.0326,0.807,8.51e-05,4,0.553,9,268329,-8.12,0.196,1
81,82,Sweet but Psycho,Ava Max,37843,2019-01-06,0.704,0.166,133.002,0.0476,0.0691,0.0,4,0.719,1,187436,-4.724,0.628,1
82,83,Eastside (with Halsey & Khalid),benny blanco,36654,2019-01-06,0.686,0.2,89.949,0.243,0.549,0.0,4,0.632,6,170770,-7.665,0.329,0
83,84,comethru,Jeremy Zucker,35342,2019-01-06,0.175,0.625,93.994,0.0594,0.603,0.0,4,0.798,0,181520,-12.603,0.633,1
84,85,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,35329,2019-01-06,0.743,0.465,125.944,0.0393,0.237,0.0,4,0.67,10,218293,-4.993,0.571,1
85,86,ยังไง,Ninja,35235,2019-01-06,0.57,0.139,119.98,0.069,0.198,0.0,4,0.816,8,280042,-9.489,0.674,1
86,87,Hope,The Chainsmokers,34425,2019-01-06,0.699,0.0814,104.941,0.0958,0.488,3.6e-06,4,0.773,1,180120,-5.982,0.513,0
87,88,High Hopes,Panic! At The Disco,34403,2019-01-06,0.904,0.064,82.014,0.0618,0.193,0.0,4,0.579,5,190947,-2.729,0.681,1
88,89,Better Now,Post Malone,34253,2019-01-06,0.578,0.135,145.038,0.04,0.331,0.0,4,0.68,10,231267,-5.804,0.341,1
89,90,KILLING ME,iKON,33970,2019-01-06,0.672,0.205,127.986,0.0732,0.465,0.0,4,0.76,9,193734,-5.277,0.505,0
90,91,FAKE LOVE,BTS,33601,2019-01-06,0.719,0.306,77.501,0.0372,0.00267,0.0,4,0.557,2,242334,-4.515,0.344,0
91,92,พบกันใหม่,Polycat,33358,2019-01-06,0.807,0.109,88.991,0.0375,0.312,0.000325,4,0.664,0,314000,-5.542,0.593,1
92,93,Bad Boy,Red Velvet,33169,2019-01-06,0.736,0.0553,149.985,0.0457,0.191,0.0,4,0.714,2,210818,-3.801,0.814,1
93,94,ครั้งสุดท้าย,OG-ANIC,32658,2019-01-06,0.782,0.0848,159.661,0.197,0.553,0.0,4,0.422,7,207000,-4.686,0.448,0
94,95,4:00,The Toys,32152,2019-01-06,0.499,0.17,119.894,0.0404,0.459,0.00357,4,0.711,1,226000,-9.584,0.244,1
95,96,BOOMBAYAH - KR Ver.,BLACKPINK,32087,2019-01-06,0.85,0.412,124.882,0.0694,0.00264,0.0,4,0.657,5,241467,-3.157,0.375,0
96,97,Spring Breeze,Wanna One,32059,2019-01-06,0.792,0.37,107.96,0.0296,0.0884,0.0,4,0.633,3,235869,-3.202,0.369,1
97,98,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,31898,2019-01-06,0.747,0.219,105.943,0.0323,0.269,0.0,4,0.737,10,192453,-4.818,0.447,1
98,99,Perfect,Ed Sheeran,31835,2019-01-06,0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1
99,100,POP/STARS,K/DA,31532,2019-01-06,0.769,0.108,170.036,0.0872,0.0183,0.0,4,0.566,7,191100,-4.342,0.385,1
100,101,อยู่นานๆได้ไหม,SIN,31518,2019-01-06,0.387,0.0878,83.907,0.0319,0.712,0.0,4,0.527,9,247707,-9.215,0.212,1
101,102,พอจะรู้,MEYOU,31315,2019-01-06,0.302,0.0868,124.978,0.0479,0.684,0.0,3,0.73,6,181460,-11.773,0.48,0
102,103,PLAYING WITH FIRE - KR Ver.,BLACKPINK,31126,2019-01-06,0.758,0.186,97.052,0.108,0.044,0.0,4,0.704,4,197667,-4.393,0.663,0
103,104,ชนดิ,Mindset,30528,2019-01-06,0.701,0.338,130.062,0.0503,0.0397,0.0,4,0.798,1,227077,-4.431,0.187,1
104,105,Candle Light,NCT DREAM,30520,2019-01-06,0.819,0.125,92.934,0.0541,0.0287,0.0,4,0.556,8,236536,-4.869,0.286,1
105,106,Too Good At Goodbyes,Sam Smith,29991,2019-01-06,0.372,0.169,91.873,0.0432,0.64,0.0,4,0.681,5,201000,-8.237,0.476,1
106,107,แค่เพียงฉัน(ที่ไม่ลืม),Earth Patravee,29990,2019-01-06,0.351,0.125,155.859,0.0366,0.767,0.00454,4,0.62,7,227087,-10.342,0.284,1
107,108,What is Love?,TWICE,29763,2019-01-06,0.91,0.266,169.982,0.064,0.0846,0.0,4,0.573,8,208238,-1.578,0.602,1
108,109,no tears left to cry,Ariana Grande,29465,2019-01-06,0.713,0.294,121.993,0.0594,0.04,3.11e-06,4,0.699,9,205920,-5.507,0.354,0
109,110,Beautiful (feat. Camila Cabello),Bazzi,28676,2019-01-06,0.717,0.105,100.027,0.0337,0.346,0.0,4,0.638,2,180000,-4.722,0.249,1
110,111,REALLY - KR Ver.,BLACKPINK,28257,2019-01-06,0.882,0.315,142.025,0.104,0.0234,0.0,4,0.695,1,197789,-2.08,0.947,1
111,112,This Feeling,The Chainsmokers,28215,2019-01-06,0.571,0.0912,105.049,0.0439,0.0558,0.0,4,0.575,1,197947,-7.906,0.449,1
112,113,ไม่ใช่ฉัน,D Gerrard,28151,2019-01-06,0.469,0.106,140.075,0.0587,0.842,0.0,4,0.721,4,281966,-5.721,0.588,0
113,114,Going Bad (feat. Drake),Meek Mill,27605,2019-01-06,0.496,0.252,86.003,0.0905,0.259,0.0,4,0.889,4,180522,-6.365,0.544,0
114,115,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,27379,2019-01-06,0.724,0.12,102.061,0.0486,0.0945,1.68e-06,4,0.601,6,207905,-4.856,0.508,1
115,116,Lie To Me,5 Seconds of Summer,27238,2019-01-06,0.478,0.103,159.951,0.0359,0.0115,0.0,4,0.633,0,150467,-5.571,0.692,1
116,117,FRIENDS,Marshmello,26869,2019-01-06,0.88,0.128,95.079,0.0504,0.205,0.0,4,0.626,9,202621,-2.384,0.534,0
117,118,ศัตรูที่รัก,theBOYKOR,26773,2019-01-06,0.644,0.138,136.142,0.0307,0.436,0.048,3,0.548,9,236457,-5.049,0.524,1
118,119,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,26544,2019-01-06,0.723,0.126,104.969,0.0412,0.0302,2.06e-06,4,0.703,9,198903,-5.45,0.288,0
119,120,ก่อนฤดูฝน,The Toys,26072,2019-01-06,0.49,0.234,134.944,0.0416,0.431,0.0,4,0.715,1,223778,-12.673,0.743,1
120,121,PLEASE,Atom Chanakan,25960,2019-01-06,0.491,0.146,140.015,0.0349,0.507,0.014,4,0.537,9,284584,-9.06,0.508,1
121,122,The Middle,Zedd,25931,2019-01-06,0.657,0.112,107.01,0.0449,0.171,0.0,4,0.753,7,184732,-3.061,0.437,1
122,123,Good Morning Teacher,Atom Chanakan,25851,2019-01-06,0.576,0.195,97.886,0.0893,0.597,7.14e-06,4,0.619,0,206867,-7.367,0.536,1
123,124,Havana (feat. Young Thug),Camila Cabello,25738,2019-01-06,0.523,0.132,104.988,0.03,0.184,3.56e-05,4,0.765,2,217307,-4.333,0.394,1
124,125,Simon Says,NCT 127,25710,2019-01-06,0.836,0.0507,151.977,0.238,0.218,0.0,4,0.653,9,199773,-6.018,0.569,1
125,126,HANN (Alone),(G)I-DLE,25600,2019-01-06,0.718,0.167,104.971,0.0312,0.059,0.0,4,0.709,6,205820,-3.315,0.24,0
126,127,หมายความว่าอะไร,MEAN,25435,2019-01-06,0.538,0.184,159.841,0.0464,0.75,0.0,4,0.589,10,195143,-5.665,0.659,1
